English,Pronunciation,Korean Meaning,Explanation
find,파인드,찾다,특정 데이터나 파일을 찾기 위해 사용.
select,셀렉트,선택하다,데이터베이스에서 특정 데이터를 선택할 때 사용.
claim,클레임,주장하다,특정 리소스나 데이터를 사용한다고 명시할 때.
anonymous,어나니머스,익명,사용자나 함수가 특정 이름 없이 동작하는 상태.
parse,파스,구문 분석하다,데이터를 특정 형식으로 분석하거나 처리.
render,렌더,"그리다, 표현하다",UI를 화면에 출력하거나 데이터를 시각적으로 표현.
commit,커밋,커밋하다,버전 관리 시스템에서 변경 사항을 저장.
merge,머지,합치다,여러 소스 코드를 하나로 병합.
debug,디버그,디버그하다,코드의 오류를 찾고 수정.
validate,밸리데이트,검증하다,데이터나 입력값이 조건에 맞는지 확인.
execute,엑스큐트,실행하다,코드를 실행하거나 명령을 처리.
deploy,디플로이,배포하다,프로그램이나 서비스를 운영 환경에 배포.
update,업데이트,갱신하다,데이터나 소프트웨어를 최신 상태로 변경.
rollback,롤백,되돌리다,변경 사항을 이전 상태로 복구.
refactor,리팩터,리팩토링하다,코드 구조를 개선하되 기능은 동일하게 유지.
log,로그,기록하다,프로그램의 실행 상태를 기록.
load,로드,로드하다,데이터나 리소스를 불러오기.
search,서치,검색하다,특정 데이터를 찾기 위해 검색.
retry,리트라이,재시도하다,작업이 실패했을 때 다시 시도.
block,블록,차단하다,특정 요청이나 작업을 멈추거나 막음.
accept,어셉트,수락하다,요청이나 데이터를 수락.
reject,리젝트,거절하다,요청이나 작업을 거절.
register,레지스터,등록하다,사용자나 데이터를 시스템에 등록.
invoke,인보크,호출하다,특정 함수나 메서드를 실행.
initialize,이니셜라이즈,초기화하다,데이터나 시스템의 초기 상태를 설정.
optimize,옵티마이즈,최적화하다,성능이나 효율을 높이기 위해 개선.
terminate,터미네이트,종료하다,프로세스나 작업을 종료.
truncate,트렁케이트,잘라내다,데이터의 일부를 잘라내거나 제거.
allocate,앨로케이트,할당하다,메모리나 리소스를 특정 작업에 배정.
release,릴리스,해제하다,메모리나 리소스를 반환.
dispose,디스포즈,처리하다,리소스를 정리하거나 제거.
capture,캡처,포착하다,특정 데이터나 상태를 잡아내다.
assert,어썰트,단언하다,특정 조건이 참인지 확인.
compare,컴페어,비교하다,두 값이나 데이터를 비교.
append,어펜드,추가하다,리스트나 데이터 구조에 새로운 항목을 추가.
fetch,페치,가져오다,서버나 데이터베이스에서 데이터를 가져옴.
push,푸시,푸시하다,데이터를 스택이나 큐에 추가.
pull,풀,당기다,데이터를 가져오거나 다운로드.
